iter	Passed	Remaining
0	0	842
1	1	742
2	2	695
3	2	666
4	3	651
5	3	635
6	4	626
7	4	618
8	5	613
9	6	609
10	6	604
11	7	599
12	7	598
13	8	596
14	9	593
15	9	593
16	10	594
17	10	597
18	11	596
19	12	595
20	12	593
21	13	597
22	14	601
23	14	603
24	15	603
25	16	603
26	16	604
27	17	604
28	18	604
29	18	605
30	19	604
31	19	603
32	20	605
33	21	604
34	21	603
35	22	604
36	23	601
37	23	606
38	24	606
39	25	606
40	25	605
41	26	606
42	27	605
43	27	603
44	28	604
45	29	603
46	29	603
47	30	603
48	31	603
49	31	601
50	32	600
51	32	598
52	33	596
53	33	595
54	34	593
55	35	592
56	35	590
57	36	588
58	36	587
59	37	587
60	38	585
61	38	584
62	39	582
63	39	581
64	40	579
65	40	578
66	41	576
67	41	571
68	42	570
69	42	569
70	43	567
71	43	566
72	44	564
73	45	563
74	45	562
75	46	563
76	46	562
77	47	561
78	48	560
79	48	559
80	49	557
81	49	556
82	50	555
83	50	554
84	51	551
85	51	550
86	52	547
87	52	547
88	53	546
89	54	546
90	54	545
91	55	546
92	55	546
93	56	545
94	57	544
95	57	543
96	58	542
97	58	541
98	59	540
99	59	539
100	60	538
101	60	536
102	61	535
103	62	534
104	62	533
105	63	532
106	63	531
107	64	530
108	64	529
109	65	529
110	65	528
111	66	527
112	67	526
113	67	525
114	68	524
115	68	522
116	69	521
117	69	520
118	70	519
119	70	518
120	71	517
121	71	516
122	72	513
123	72	513
124	73	513
125	74	513
126	74	513
127	75	511
128	75	511
129	76	510
130	76	509
131	77	508
132	77	508
133	79	513
134	80	513
135	80	513
136	81	512
137	81	511
138	82	512
139	83	513
140	84	514
141	85	514
142	86	517
143	87	517
144	87	516
145	88	516
146	88	515
147	89	514
148	89	513
149	90	513
150	91	515
151	92	515
152	93	515
153	93	514
154	94	514
155	94	513
156	95	512
157	95	511
158	96	510
159	97	509
160	97	508
161	98	507
162	98	507
163	99	506
164	99	505
165	100	504
166	100	503
167	101	502
168	102	502
169	102	501
170	103	500
171	103	499
172	104	498
173	104	498
174	105	497
175	106	497
176	106	496
177	107	495
178	107	494
179	108	493
180	108	491
181	109	491
182	109	490
183	110	489
184	110	488
185	111	487
186	112	486
187	112	486
188	113	485
189	113	484
190	114	483
191	114	482
192	115	482
193	115	481
194	116	480
195	116	479
196	117	478
197	118	478
198	118	477
199	119	477
200	119	476
201	120	476
202	121	476
203	121	475
204	122	475
205	123	474
206	123	474
207	124	474
208	125	473
209	125	473
210	126	472
211	127	472
212	127	472
213	128	472
214	129	471
215	129	471
216	130	471
217	131	470
218	131	470
219	132	469
220	133	469
221	133	468
222	134	468
223	135	468
224	135	467
225	136	466
226	136	466
227	137	465
228	137	464
229	138	464
230	139	463
231	139	463
232	140	462
233	141	462
234	141	461
235	142	461
236	143	461
237	143	460
238	144	459
239	145	459
240	145	458
241	146	458
242	147	458
243	147	457
244	148	457
245	149	456
246	149	456
247	150	455
248	150	455
249	151	454
250	152	453
251	152	453
252	153	452
253	153	452
254	154	451
255	155	450
256	155	450
257	156	449
258	157	449
259	157	448
260	158	448
261	159	448
262	160	448
263	160	448
264	161	447
265	162	447
266	162	446
267	163	447
268	164	447
